
Провести диагностику смартфона	OK	Ремонт цифровой техники -> Планшеты и телефоны
	Ремонт цифровой техники -> Планшеты и телефоны = 0.981	Другое = 0.019
	очистка(1;1.0;почист), компьютер(1;1.0;ноутбук)
Диагностика компьютера	OK	Компьютерная помощь -> Ремонт компьютеров и ноутбуков
	Компьютерная помощь -> Ремонт компьютеров и ноутбуков = 0.922	Другое = 0.078
	диагностика(1;1.0;диагностик), компьютер(1;1.0;компьютер)
Отремонтировать ноутбук	OK	Компьютерная помощь -> Ремонт компьютеров и ноутбуков
	Компьютерная помощь -> Ремонт компьютеров и ноутбуков = 1.000
	компьютер(1;1.0;ноутбук), ремонт(1;1.0;отремонтирова)
Отремонтировать ноутбук Asus K50AF	OK	Компьютерная помощь -> Ремонт компьютеров и ноутбуков
	Компьютерная помощь -> Ремонт компьютеров и ноутбуков = 1.000
	ремонт(1;1.0;отремонтирова), компьютер(1;1.0;ноутбук), производитель электроники(1;0.3;asus)
Воскрешение компьютера	OK	Компьютерная помощь -> Ремонт компьютеров и ноутбуков
	Компьютерная помощь -> Ремонт компьютеров и ноутбуков = 0.997	Фото- и видео-услуги = 0.003
	компьютер(1;1.0;компьютер), восстановление(1;1.0;воскрешен)
Прочистить ноутбук	OK	Компьютерная помощь -> Ремонт компьютеров и ноутбуков
	Компьютерная помощь -> Ремонт компьютеров и ноутбуков = 1.000
	очистка(1;1.0;прочист), компьютер(1;1.0;ноутбук)
Диагностика ноутбука	OK	Компьютерная помощь -> Ремонт компьютеров и ноутбуков
	Компьютерная помощь -> Ремонт компьютеров и ноутбуков = 0.922	Другое = 0.078
	диагностика(1;1.0;диагностик), компьютер(1;1.0;ноутбук)
Ремонт ноутбука Acer	OK	Компьютерная помощь -> Ремонт компьютеров и ноутбуков
	Компьютерная помощь -> Ремонт компьютеров и ноутбуков = 1.000
	ремонт(1;1.0;ремонт), компьютер(1;1.0;ноутбук), производитель электроники(1;0.3;acer)
Починить ноутбуки	OK	Компьютерная помощь -> Ремонт компьютеров и ноутбуков
	Компьютерная помощь -> Ремонт компьютеров и ноутбуков = 1.000
	ремонт(1;1.0;почин), компьютер(1;1.0;ноутбук)
Заменить разъём питания на ноутбуке	OK	Компьютерная помощь -> Ремонт компьютеров и ноутбуков
	Компьютерная помощь -> Ремонт компьютеров и ноутбуков = 0.854	Ремонт цифровой техники = 0.146
	компьютер(1;1.0;ноутбук), замена(1;1.0;замен), редактирование(1;1.0;замен), запчасти(1;1.0;разь)
Заменить разъём питания на ноутбуке	OK	Компьютерная помощь -> Ремонт компьютеров и ноутбуков
	Компьютерная помощь -> Ремонт компьютеров и ноутбуков = 0.854	Ремонт цифровой техники = 0.146
	компьютер(1;1.0;ноутбук), замена(1;1.0;замен), редактирование(1;1.0;замен), запчасти(1;1.0;разь)
Ремонт ноутбука HP Pavilion DV6	OK	Компьютерная помощь -> Ремонт компьютеров и ноутбуков
	Компьютерная помощь -> Ремонт компьютеров и ноутбуков = 1.000
	производитель электроники(1;0.3;hp), компьютер(1;1.0;ноутбук), ремонт(1;1.0;ремонт)
Починить ноутбук Samsung np300	OK	Компьютерная помощь -> Ремонт компьютеров и ноутбуков
	Компьютерная помощь -> Ремонт компьютеров и ноутбуков = 1.000
	производитель электроники(1;0.3;samsung), производитель аудио(1;0.3;samsung), ремонт(1;1.0;почин), компьютер(1;1.0;ноутбук)
Ремонт ноутбука Toshiba Satellite	OK	Компьютерная помощь -> Ремонт компьютеров и ноутбуков
	Компьютерная помощь -> Ремонт компьютеров и ноутбуков = 1.000
	ремонт(1;1.0;ремонт), компьютер(1;1.0;ноутбук), производитель электроники(1;0.3;toshib), производитель планшетов(1;0.3;toshib)
Помощь для ноутбука	OK	Компьютерная помощь -> Ремонт компьютеров и ноутбуков
	Компьютерная помощь -> Ремонт компьютеров и ноутбуков = 0.988	Работа = 0.012
	помощь(1;1.0;помощ), компьютер(1;1.0;ноутбук)
Ремонт ноутбук	OK	Компьютерная помощь -> Ремонт компьютеров и ноутбуков
	Компьютерная помощь -> Ремонт компьютеров и ноутбуков = 1.000
	ремонт(1;1.0;ремонт), компьютер(1;1.0;ноутбук)
Ремонт ноутбука Асус	OK	Компьютерная помощь -> Ремонт компьютеров и ноутбуков
	Компьютерная помощь -> Ремонт компьютеров и ноутбуков = 1.000
	ремонт(1;1.0;ремонт), производитель электроники(1;0.3;асус), компьютер(1;1.0;ноутбук)
Отремонтировать ноутбук Asus	OK	Компьютерная помощь -> Ремонт компьютеров и ноутбуков
	Компьютерная помощь -> Ремонт компьютеров и ноутбуков = 1.000
	ремонт(1;1.0;отремонтирова), компьютер(1;1.0;ноутбук), производитель электроники(1;0.3;asus)
Ремонт ноутбуков	OK	Компьютерная помощь -> Ремонт компьютеров и ноутбуков
	Компьютерная помощь -> Ремонт компьютеров и ноутбуков = 1.000
	ремонт(1;1.0;ремонт), компьютер(1;1.0;ноутбук)
Ремонт ноутбука ASUS X555L	OK	Компьютерная помощь -> Ремонт компьютеров и ноутбуков
	Компьютерная помощь -> Ремонт компьютеров и ноутбуков = 1.000
	ремонт(1;1.0;ремонт), компьютер(1;1.0;ноутбук), производитель электроники(1;0.3;asus)
Ремонт ноутбука Samsung RV511	OK	Компьютерная помощь -> Ремонт компьютеров и ноутбуков
	Компьютерная помощь -> Ремонт компьютеров и ноутбуков = 1.000
	производитель электроники(1;0.3;samsung), производитель аудио(1;0.3;samsung), ремонт(1;1.0;ремонт), компьютер(1;1.0;ноутбук)
Почистить ноутбук Toshiba Satellite	OK	Компьютерная помощь -> Ремонт компьютеров и ноутбуков
	Компьютерная помощь -> Ремонт компьютеров и ноутбуков = 1.000
	очистка(1;1.0;почист), компьютер(1;1.0;ноутбук), производитель электроники(1;0.3;toshib), производитель планшетов(1;0.3;toshib)
Ремонт ноутбука Asus U31S	OK	Компьютерная помощь -> Ремонт компьютеров и ноутбуков
	Компьютерная помощь -> Ремонт компьютеров и ноутбуков = 1.000
	ремонт(1;1.0;ремонт), компьютер(1;1.0;ноутбук), производитель электроники(1;0.3;asus)
Оптимизировать работу монитора и компьютера	OK	Компьютерная помощь -> Ремонт компьютеров и ноутбуков
	Компьютерная помощь -> Ремонт компьютеров и ноутбуков = 0.997	Фото- и видео-услуги = 0.003
	тв/монитор(1;1.0;монитор), компьютер(1;1.0;компьютер), отладка(1;1.0;оптимизирова), работа(1;1.0;работ)
Ремонт ноутбука Аsus M51T	OK	Компьютерная помощь -> Ремонт компьютеров и ноутбуков
	Компьютерная помощь -> Ремонт компьютеров и ноутбуков = 1.000
	ремонт(1;1.0;ремонт), производитель электроники(1;0.3;асус), компьютер(1;1.0;ноутбук)
Переустановка windows, настройка компьютера	OK	Компьютерная помощь -> Ремонт компьютеров и ноутбуков
	Компьютерная помощь -> Ремонт компьютеров и ноутбуков = 0.996	Фото- и видео-услуги = 0.004
	компьютер(1;1.0;компьютер), программа(1;1.0;windows), настройка(1;1.0;настройк), установить(1;1.0;переустановк)
Почистить MacBook Air 2011	OK	Компьютерная помощь -> Ремонт компьютеров и ноутбуков
	Компьютерная помощь -> Ремонт компьютеров и ноутбуков = 1.000
	очистка(1;1.0;почист), модель телефона(1;0.3;air), компьютер(1;1.0;macbook)
Ремонт монитора ноутбука Lenovo B590	OK	Компьютерная помощь -> Ремонт компьютеров и ноутбуков
	Компьютерная помощь -> Ремонт компьютеров и ноутбуков = 1.000
	тв/монитор(1;1.0;монитор), производитель электроники(1;0.3;lenov), производитель планшетов(1;0.3;lenov), ремонт(1;1.0;ремонт), компьютер(1;1.0;ноутбук)
Заменить монитор ноутбука Lenovo G770	OK	Компьютерная помощь -> Ремонт компьютеров и ноутбуков
	Компьютерная помощь -> Ремонт компьютеров и ноутбуков = 1.000
	тв/монитор(1;1.0;монитор), производитель электроники(1;0.3;lenov), производитель планшетов(1;0.3;lenov), замена(1;1.0;замен), редактирование(1;1.0;замен), компьютер(1;1.0;ноутбук)



----------------------------------------------------------

Ремонт гнезда для наушников	OK	Ремонт цифровой техники -> Аудиотехника и системы
	Ремонт цифровой техники -> Аудиотехника и системы = 0.873	Ремонт цифровой техники = 0.104	Другое = 0.024
	ремонт(1;1.0;ремонт), аудио(1;1.0;наушник)
Замена мини-джека у наушников	OK	Ремонт цифровой техники -> Аудиотехника и системы
	Ремонт цифровой техники -> Аудиотехника и системы = 0.938	Другое = 0.040	Ремонт цифровой техники = 0.022
	замена(1;1.0;зам), аудио(1;1.0;мини-джек), аудио(1;1.0;наушник)
Замена мини-джека у наушников	OK	Ремонт цифровой техники -> Аудиотехника и системы
	Ремонт цифровой техники -> Аудиотехника и системы = 0.938	Другое = 0.040	Ремонт цифровой техники = 0.022
	замена(1;1.0;зам), аудио(1;1.0;мини-джек), аудио(1;1.0;наушник)
Ремонт наушников Monster Beats gratitude	OK	Ремонт цифровой техники -> Аудиотехника и системы
	Ремонт цифровой техники -> Аудиотехника и системы = 0.851	Ремонт цифровой техники = 0.126	Другое = 0.023
	производитель аудио(1;0.3;monster), ремонт(1;1.0;ремонт), аудио(1;1.0;наушник), производитель аудио(1;0.3;beats)
Отремонтировать наушники Whinston	OK	Ремонт цифровой техники -> Аудиотехника и системы
	Ремонт цифровой техники -> Аудиотехника и системы = 0.873	Ремонт цифровой техники = 0.104	Другое = 0.024
	ремонт(1;1.0;отремонтирова), аудио(1;1.0;наушник)
Ремонт музыкальных центров Philips	OK	Ремонт цифровой техники -> Аудиотехника и системы
	Ремонт цифровой техники -> Аудиотехника и системы = 0.961	Ремонт цифровой техники = 0.039
	производитель электроники(1;0.3;philips), производитель аудио(1;0.3;philips), производитель планшетов(1;0.3;philips), аудио(1;1.0;музыкальн центр), ремонт(1;1.0;ремонт)
Ремонт синтезатора Casio	OK	Ремонт цифровой техники -> Аудиотехника и системы
	Ремонт цифровой техники -> Аудиотехника и системы = 0.966	Ремонт цифровой техники = 0.034
	производитель электроники(1;0.3;cas), производитель фото(1;0.3;cas), производитель аудио(1;0.3;cas), производитель планшетов(1;0.3;cas), производитель часов(1;0.3;cas), ремонт(1;1.0;ремонт), аудио(1;1.0;синтезатор)
Ремонт наушников Steelseries Siberia V2	OK	Ремонт цифровой техники -> Аудиотехника и системы
	Ремонт цифровой техники -> Аудиотехника и системы = 0.998	Работа = 0.002
	производитель электроники(1;0.3;steelseries), производитель аудио(1;0.3;steelseries), ремонт(1;1.0;ремонт), аудио(1;1.0;наушник)
Ремонт наушников Steelseries	OK	Ремонт цифровой техники -> Аудиотехника и системы
	Ремонт цифровой техники -> Аудиотехника и системы = 0.998	Работа = 0.002
	производитель электроники(1;0.3;steelseries), производитель аудио(1;0.3;steelseries), ремонт(1;1.0;ремонт), аудио(1;1.0;наушник)
Ремонт сабвуфера Yamaha	OK	Ремонт цифровой техники -> Аудиотехника и системы
	Ремонт цифровой техники -> Аудиотехника и системы = 0.998	Работа = 0.002
	производитель электроники(1;0.3;yamah), производитель аудио(1;0.3;yamah), ремонт(1;1.0;ремонт), аудио(1;1.0;сабвуфер)
Ремонт музыкального центра Sony RX70	OK	Ремонт цифровой техники -> Аудиотехника и системы
	Ремонт цифровой техники -> Аудиотехника и системы = 0.994	Работа = 0.006
	производитель электроники(1;0.3;son), аудио(1;1.0;музыкальн центр), ремонт(1;1.0;ремонт)
Ремонт наушников Razer Kraken	OK	Ремонт цифровой техники -> Аудиотехника и системы
	Ремонт цифровой техники -> Аудиотехника и системы = 1.000
	ремонт(1;1.0;ремонт), аудио(1;1.0;наушник), производитель электроники(1;0.3;razer), производитель аудио(1;0.3;razer), производитель смарт-часов(1;0.3;razer)
Ремонт музыкального центра Yamaha MCR-B142	OK	Ремонт цифровой техники -> Аудиотехника и системы
	Ремонт цифровой техники -> Аудиотехника и системы = 0.998	Работа = 0.002
	аудио(1;1.0;музыкальн центр), производитель электроники(1;0.3;yamah), производитель аудио(1;0.3;yamah), ремонт(1;1.0;ремонт)
Ремонт колонки JBL	OK	Ремонт цифровой техники -> Аудиотехника и системы
	Ремонт цифровой техники -> Аудиотехника и системы = 0.998	Работа = 0.002
	ремонт(1;1.0;ремонт), производитель электроники(1;0.3;jbl), производитель аудио(1;0.3;jbl), аудио(1;1.0;колонк)
Отремонтировать наушники Monster Beat Solo 2	OK	Ремонт цифровой техники -> Аудиотехника и системы
	Ремонт цифровой техники -> Аудиотехника и системы = 0.973	Другое = 0.027
	производитель аудио(1;0.3;monster), ремонт(1;1.0;отремонтирова), аудио(1;1.0;наушник), модель телефона(1;0.3;sol)
Ремонт наушников AKG	OK	Ремонт цифровой техники -> Аудиотехника и системы
	Ремонт цифровой техники -> Аудиотехника и системы = 0.998	Работа = 0.002
	ремонт(1;1.0;ремонт), аудио(1;1.0;наушник), производитель электроники(1;0.3;akg), производитель аудио(1;0.3;akg)
Ремонт наушников Sennheiser hd 449	OK	Ремонт цифровой техники -> Аудиотехника и системы
	Ремонт цифровой техники -> Аудиотехника и системы = 0.851	Ремонт цифровой техники = 0.126	Другое = 0.023
	производитель аудио(1;0.3;sennheiser), ремонт(1;1.0;ремонт), аудио(1;1.0;наушник)
Отремонтировать наушники Sennheiser cx 280	OK	Ремонт цифровой техники -> Аудиотехника и системы
	Ремонт цифровой техники -> Аудиотехника и системы = 0.851	Ремонт цифровой техники = 0.126	Другое = 0.023
	производитель аудио(1;0.3;sennheiser), ремонт(1;1.0;отремонтирова), аудио(1;1.0;наушник)
Ремонт наушников Monster Beats	OK	Ремонт цифровой техники -> Аудиотехника и системы
	Ремонт цифровой техники -> Аудиотехника и системы = 0.851	Ремонт цифровой техники = 0.126	Другое = 0.023
	производитель аудио(1;0.3;monster), ремонт(1;1.0;ремонт), аудио(1;1.0;наушник), производитель аудио(1;0.3;beats)
Отремонтировать наушники Monster Beats	OK	Ремонт цифровой техники -> Аудиотехника и системы
	Ремонт цифровой техники -> Аудиотехника и системы = 0.851	Ремонт цифровой техники = 0.126	Другое = 0.023
	производитель аудио(1;0.3;monster), ремонт(1;1.0;отремонтирова), аудио(1;1.0;наушник), производитель аудио(1;0.3;beats)
Ремонт наушников Beats	OK	Ремонт цифровой техники -> Аудиотехника и системы
	Ремонт цифровой техники -> Аудиотехника и системы = 0.851	Ремонт цифровой техники = 0.126	Другое = 0.023
	ремонт(1;1.0;ремонт), аудио(1;1.0;наушник), производитель аудио(1;0.3;beats)
Ремонт винилового проигрывателя Pioneer Energy	OK	Ремонт цифровой техники -> Аудиотехника и системы
	Ремонт цифровой техники -> Аудиотехника и системы = 0.998	Работа = 0.002
	аудио(1;1.0;проигрывател), ремонт(1;1.0;ремонт), производитель электроники(1;0.3;pioneer), производитель аудио(1;0.3;pioneer)
Ремонт музыкального центра aiwa	OK	Ремонт цифровой техники -> Аудиотехника и системы
	Ремонт цифровой техники -> Аудиотехника и системы = 0.978	Ремонт цифровой техники = 0.019	Работа = 0.003
	аудио(1;1.0;музыкальн центр), производитель электроники(1;0.3;aiw), производитель тв(1;0.3;aiw), ремонт(1;1.0;ремонт)
Ремонт советского усилителя Амфитон 25у 002с	OK	Ремонт цифровой техники -> Аудиотехника и системы
	Ремонт цифровой техники -> Аудиотехника и системы = 0.873	Ремонт цифровой техники = 0.104	Другое = 0.024
	аудио(1;1.0;усилител), ремонт(1;1.0;ремонт)
Починить 3 пары наушников	OK	Ремонт цифровой техники -> Аудиотехника и системы
	Ремонт цифровой техники -> Аудиотехника и системы = 0.873	Ремонт цифровой техники = 0.104	Другое = 0.024
	аудио(1;1.0;наушник), ремонт(1;1.0;почин)
Ремонт автомобильного усилителя Xtant	OK	Ремонт цифровой техники -> Аудиотехника и системы
	Ремонт цифровой техники -> Аудиотехника и системы = 0.873	Ремонт цифровой техники = 0.104	Другое = 0.024
	ремонт(1;1.0;ремонт), машина(1;1.0;автомобильн), аудио(1;1.0;усилител)
Ремонт усилителя DLS CA450	OK	Ремонт цифровой техники -> Аудиотехника и системы
	Ремонт цифровой техники -> Аудиотехника и системы = 0.873	Ремонт цифровой техники = 0.104	Другое = 0.024
	аудио(1;1.0;усилител), ремонт(1;1.0;ремонт)
Отремонтировать наушники	OK	Ремонт цифровой техники -> Аудиотехника и системы
	Ремонт цифровой техники -> Аудиотехника и системы = 0.873	Ремонт цифровой техники = 0.104	Другое = 0.024
	ремонт(1;1.0;отремонтирова), аудио(1;1.0;наушник)
Ремонт аудиосистемы	OK	Ремонт цифровой техники -> Аудиотехника и системы
	Ремонт цифровой техники -> Аудиотехника и системы = 0.873	Ремонт цифровой техники = 0.104	Другое = 0.024
	ремонт(1;1.0;ремонт), аудио(1;1.0;аудиосистем)
Ремонт штекера наушников	OK	Ремонт цифровой техники -> Аудиотехника и системы
	Ремонт цифровой техники -> Аудиотехника и системы = 0.873	Ремонт цифровой техники = 0.104	Другое = 0.024
	ремонт(1;1.0;ремонт), аудио(1;1.0;наушник)
Ремонт синтезатора KORG TRITON LE (61 клавиша)	OK	Ремонт цифровой техники -> Аудиотехника и системы
	Ремонт цифровой техники -> Аудиотехника и системы = 0.873	Ремонт цифровой техники = 0.104	Другое = 0.024
	ремонт(1;1.0;ремонт), аудио(1;1.0;синтезатор)
Ремонт усилителя YBA серии YA 201	OK	Ремонт цифровой техники -> Аудиотехника и системы
	Ремонт цифровой техники -> Аудиотехника и системы = 0.873	Ремонт цифровой техники = 0.104	Другое = 0.024
	аудио(1;1.0;усилител), ремонт(1;1.0;ремонт)
Ремонт сабвуфера	OK	Ремонт цифровой техники -> Аудиотехника и системы
	Ремонт цифровой техники -> Аудиотехника и системы = 0.873	Ремонт цифровой техники = 0.104	Другое = 0.024
	аудио(1;1.0;сабвуфер), ремонт(1;1.0;ремонт)
Ремонт плеера Cowon iAudio X5	OK	Ремонт цифровой техники -> Аудиотехника и системы
	Ремонт цифровой техники -> Аудиотехника и системы = 0.851	Ремонт цифровой техники = 0.126	Другое = 0.023
	аудио(1;1.0;плеер), производитель аудио(1;0.3;cowon), ремонт(1;1.0;ремонт)



----------------------------------------------------------

Заменить экран 4s черный	OK	Ремонт цифровой техники
	Ремонт цифровой техники = 0.961	Другое = 0.039
	замена(1;1.0;замен), редактирование(1;1.0;замен), экран(1;1.0;экра)
Заменить дисплей на LG	OK	Ремонт цифровой техники
	Ремонт цифровой техники = 1.000
	производитель электроники(1;0.3;lg), замена(1;1.0;замен), редактирование(1;1.0;замен), экран(1;1.0;диспл)
Заменить дисплей на LG	OK	Ремонт цифровой техники
	Ремонт цифровой техники = 1.000
	производитель электроники(1;0.3;lg), замена(1;1.0;замен), редактирование(1;1.0;замен), экран(1;1.0;диспл)
Перенастройка мини АТС Panasonic	OK	Ремонт цифровой техники
	Ремонт цифровой техники = 0.990	Работа = 0.010
	офисная техника(1;1.0;мин атс), производитель электроники(1;0.3;panasonic), производитель аудио(1;0.3;panasonic), производитель тв(1;0.3;panasonic), производитель планшетов(1;0.3;panasonic)
Починить портативный сканирующий приёмник Icom IC-R1	OK	Ремонт цифровой техники
	Ремонт цифровой техники = 0.932	Ремонт цифровой техники -> Аудиотехника и системы = 0.042	Другое = 0.025
	аудио(1;1.0;приемник), прочая электроника(1;1.0;сканир приемник), ремонт(1;1.0;почин), модель телефона(1;0.3;ic)
Починить принтер samsung scx3200	OK	Ремонт цифровой техники
	Ремонт цифровой техники = 1.000
	производитель электроники(1;0.3;samsung), производитель аудио(1;0.3;samsung), ремонт(1;1.0;почин), офисная техника(1;1.0;принтер)
Припаять HDMI-разъем	OK	Ремонт цифровой техники
	Ремонт цифровой техники = 0.941	Другое = 0.045	Работа = 0.007	Фото- и видео-услуги = 0.007
	припаять(1;1.0;припая), запчасти(1;1.0;hдми-разь)
Поменять дисплей на 5с	BAD weak-match	Ремонт цифровой техники
	Ремонт цифровой техники = 0.849	Ремонт цифровой техники -> Планшеты и телефоны = 0.100	Другое = 0.052
	замена(1;1.0;поменя), экран(1;1.0;диспл)
Заменить дисплейный модуль Sony Z3	OK	Ремонт цифровой техники
	Ремонт цифровой техники = 1.000
	замена(1;1.0;замен), редактирование(1;1.0;замен), экран(1;1.0;дисплейн модул), производитель электроники(1;0.3;son)
Ремонт радиотелефона SANYO CLT-75KM	OK	Ремонт цифровой техники
	Ремонт цифровой техники = 1.000
	ремонт(1;1.0;ремонт), телефон(1;1.0;радиотелефон)




----------------------------------------------------------
Перенести контакты с iPhone в Gmail и обратно	OK	Виртуальный помощник
	Виртуальный помощник -> Виртуальный ассистент = 0.995	Фото- и видео-услуги = 0.005
	принести/перенести(1;1.0;перенест), контакты(1;1.0;контакт), модель телефона(1;0.3;iphon), гаджет(1;1.0;iphon), онлайн сервис(1;1.0;gma)
Найти в стоках фотографии по нескольким темам	OK	Виртуальный помощник
	Фото- и видео-услуги = 0.862	Фото- и видео-услуги -> Обработка фото = 0.132	Работа = 0.006
	поиск(1;1.0;найт), фото(1;1.0;фотограф), фото-видео съемка(1;1.0;фотограф)



----------------------------------------------------------
Отсканировать примерно 250 фотографий	OK	Виртуальный помощник -> Оцифровать/распечатать
	Компьютерная помощь -> Оцифровка = 0.913	Фото- и видео-услуги = 0.077	Фото- и видео-услуги -> Обработка фото = 0.010
	фото(1;1.0;фотограф), фото-видео съемка(1;1.0;фотограф), цифровая услуга(1;1.0;отсканирова)
Распечатать 320 глянцевых фотографий формата 15 на 21 см	OK	Виртуальный помощник -> Оцифровать/распечатать
	Фото- и видео-услуги = 0.862	Фото- и видео-услуги -> Обработка фото = 0.132	Работа = 0.006
	фото(1;1.0;фотограф), фото-видео съемка(1;1.0;фотограф)



----------------------------------------------------------

Необходимо удалить фон на фотографиях 25шт	OK	Фото- и видео-услуги -> Обработка фото
	Фото- и видео-услуги -> Обработка фото = 0.906	Фото- и видео-услуги = 0.094
	редактирование(1;1.0;удал), фото(1;1.0;фотограф), фото-видео съемка(1;1.0;фотограф)
Монтаж фотографий	OK	Фото- и видео-услуги -> Обработка фото
	Фото- и видео-услуги -> Обработка фото = 0.891	Фото- и видео-услуги = 0.104	Работа = 0.005
	смонтировать-собрать(1;1.0;монтаж), фото(1;1.0;фотограф), фото-видео съемка(1;1.0;фотограф)
Простая ретушь фото для интернет магазина	OK	Фото- и видео-услуги -> Обработка фото
	Фото- и видео-услуги -> Обработка фото = 1.000
	сеть(1;1.0;интернет), интернет-магазин(1;1.0;интернет магазин), ретуш(1;1.0;ретуш), фото(1;1.0;фот), магазин(1;1.0;магазин)
Нужно перенести изображение на другой фон на 24 фотографиях	OK	Фото- и видео-услуги -> Обработка фото
	Фото- и видео-услуги = 0.859	Фото- и видео-услуги -> Обработка фото = 0.135	Работа = 0.006
	фото(1;1.0;фотограф), фото-видео съемка(1;1.0;фотограф), принести/перенести(1;1.0;перенест), изображение(1;1.0;изображен)
Цветокоррекция, ретушь, обтравка на прозрачный фон - 1 фото	OK	Фото- и видео-услуги -> Обработка фото
	Фото- и видео-услуги -> Обработка фото = 1.000
	фото(1;1.0;фот), ретуш(1;1.0;ретуш), ретуш(1;1.0;цветокоррекц), ретуш(1;1.0;обтравк)
Отретушировать 8 фото	OK	Фото- и видео-услуги -> Обработка фото
	Фото- и видео-услуги -> Обработка фото = 1.000
	ретуш(1;1.0;отретуширова), фото(1;1.0;фот)
Необходимо ретушировать фото на документы в Тур Агентстве	OK	Фото- и видео-услуги -> Обработка фото
	Фото- и видео-услуги -> Обработка фото = 1.000
	ретуш(1;1.0;ретуширова), фото(1;1.0;фот), документ(1;1.0;документ)
Отретушировать 2 фото	OK	Фото- и видео-услуги -> Обработка фото
	Фото- и видео-услуги -> Обработка фото = 1.000
	ретуш(1;1.0;отретуширова), фото(1;1.0;фот)
Отретушировать 1 фото	OK	Фото- и видео-услуги -> Обработка фото
	Фото- и видео-услуги -> Обработка фото = 1.000
	ретуш(1;1.0;отретуширова), фото(1;1.0;фот)
Обработать одно фото	OK	Фото- и видео-услуги -> Обработка фото
	Фото- и видео-услуги -> Обработка фото = 1.000
	обработка(1;1.0;обработа), фото(1;1.0;фот)
Отретушировать фото	OK	Фото- и видео-услуги -> Обработка фото
	Фото- и видео-услуги -> Обработка фото = 1.000
	ретуш(1;1.0;отретуширова), фото(1;1.0;фот)
Редактирование и обработка фото	OK	Фото- и видео-услуги -> Обработка фото
	Фото- и видео-услуги -> Обработка фото = 1.000
	обработка(1;1.0;обработк), фото(1;1.0;фот)
Обработать несколько фото с помощью программы Photoshop	OK	Фото- и видео-услуги -> Обработка фото
	Фото- и видео-услуги -> Обработка фото = 0.906	Работа = 0.094
	дизайн(1;1.0;photoshop), обработка(1;1.0;обработа), фото(1;1.0;фот), программа(1;1.0;программ), помощь(1;1.0;помощ)
Обработать фото в Photoshop	OK	Фото- и видео-услуги -> Обработка фото
	Фото- и видео-услуги -> Обработка фото = 1.000
	дизайн(1;1.0;photoshop), обработка(1;1.0;обработа), фото(1;1.0;фот)
Нужно вырезать 45 фотографий	OK	Фото- и видео-услуги -> Обработка фото
	Фото- и видео-услуги = 0.862	Фото- и видео-услуги -> Обработка фото = 0.132	Работа = 0.006
	фото(1;1.0;фотограф), фото-видео съемка(1;1.0;фотограф)
Смонтировать 2 фотографии для обложки пригласительных на свадьбу	OK	Фото- и видео-услуги -> Обработка фото
	Фото- и видео-услуги -> Обработка фото = 0.891	Фото- и видео-услуги = 0.104	Работа = 0.005
	фото(1;1.0;фотограф), фото-видео съемка(1;1.0;фотограф), свадьба(1;1.0;свадьб), смонтировать-собрать(1;1.0;смонтирова)
Обработать 31 фотографии (сделать белый фон)	OK	Фото- и видео-услуги -> Обработка фото
	Фото- и видео-услуги -> Обработка фото = 0.994	Работа = 0.006
	обработка(1;1.0;обработа), фото(1;1.0;фотограф), фото-видео съемка(1;1.0;фотограф)
Отретушировать одну фотографию	OK	Фото- и видео-услуги -> Обработка фото
	Фото- и видео-услуги -> Обработка фото = 0.994	Работа = 0.006
	ретуш(1;1.0;отретуширова), фото(1;1.0;фотограф), фото-видео съемка(1;1.0;фотограф)
Обработать фотографии	OK	Фото- и видео-услуги -> Обработка фото
	Фото- и видео-услуги -> Обработка фото = 0.994	Работа = 0.006
	обработка(1;1.0;обработа), фото(1;1.0;фотограф), фото-видео съемка(1;1.0;фотограф)
Обработка фотографий	OK	Фото- и видео-услуги -> Обработка фото
	Фото- и видео-услуги -> Обработка фото = 0.994	Работа = 0.006
	обработка(1;1.0;обработк), фото(1;1.0;фотограф), фото-видео съемка(1;1.0;фотограф)
Выбрать и обработать фотографии товара	OK	Фото- и видео-услуги -> Обработка фото
	Фото- и видео-услуги -> Обработка фото = 0.994	Работа = 0.006
	выбор-подбор(1;1.0;выбра), фото(1;1.0;фотограф), фото-видео съемка(1;1.0;фотограф), обработка(1;1.0;обработа), товары(1;1.0;товар)
Отредактировать 2 фото	OK	Фото- и видео-услуги -> Обработка фото
	Фото- и видео-услуги -> Обработка фото = 0.991	Ремонт цифровой техники = 0.009
	редактирование(1;1.0;отредактирова), фото(1;1.0;фот)
Отредактировать фото	OK	Фото- и видео-услуги -> Обработка фото
	Фото- и видео-услуги -> Обработка фото = 0.991	Ремонт цифровой техники = 0.009
	редактирование(1;1.0;отредактирова), фото(1;1.0;фот)
Ретушь фотографии для гравировального станка Сауно	OK	Фото- и видео-услуги -> Обработка фото
	Фото- и видео-услуги -> Обработка фото = 0.994	Работа = 0.006
	фото(1;1.0;фотограф), фото-видео съемка(1;1.0;фотограф), ретуш(1;1.0;ретуш)
Ретушь студийных фотографий!	OK	Фото- и видео-услуги -> Обработка фото
	Фото- и видео-услуги -> Обработка фото = 0.994	Работа = 0.006
	фото(1;1.0;фотограф), фото-видео съемка(1;1.0;фотограф), ретуш(1;1.0;ретуш)




----------------------------------------------------------

Нужно сделать видеоролик или слайдшоу из фото	OK	Фото- и видео-услуги -> Видеопрезентации, заставки, слайд-шоу
